"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C7","47n","~","Monkey_Riot_Pedals_Library:C__FILM_BOX_Rect_L7.2mm_W2.5mm_P5mm","2",""
"C2","100n","~","Monkey_Riot_Pedals_Library:C__FILM_BOX_Rect_L7.2mm_W2.5mm_P5mm","1",""
"C3","220p","~","Monkey_Riot_Pedals_Library:C__FILM_BOX_Rect_L7.2mm_W2.5mm_P5mm","1",""
"C4","1n","~","Monkey_Riot_Pedals_Library:C__FILM_BOX_Rect_L7.2mm_W2.5mm_P5mm","1",""
"C5","100p","~","Monkey_Riot_Pedals_Library:C__FILM_BOX_Rect_L7.2mm_W2.5mm_P5mm","1",""
"C6","10u","~","Monkey_Riot_Pedals_Library:CP_Electro_Radial_D5.0mm_P2.50mm","1",""
"C100,C101","22u","~","Monkey_Riot_Pedals_Library:CP_Electro_Radial_D5.0mm_P2.50mm","2",""
"D1","1N5817","http://www.vishay.com/docs/88525/1n5817.pdf","Monkey_Riot_Pedals_Library:DIODE_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D2","BAT41","http://www.vishay.com/docs/85659/bat41.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D3","1N914","http://www.vishay.com/docs/85622/1n914.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"GAIN1","A1M","~","Monkey_Riot_Pedals_Library:POT_16MM","1",""
"R1","1M","~","Monkey_Riot_Pedals_Library:RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R2","4K7","~","Monkey_Riot_Pedals_Library:RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R3","470K","~","Monkey_Riot_Pedals_Library:RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R4,R101,R102","10K","~","Monkey_Riot_Pedals_Library:RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal","3",""
"R5","8K2","~","Monkey_Riot_Pedals_Library:RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R6,R7","100K","~","Monkey_Riot_Pedals_Library:RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal","2",""
"R8","15k","~","Monkey_Riot_Pedals_Library:RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"TONE1","A50K","~","Monkey_Riot_Pedals_Library:POT_16MM","1",""
"U1","TL072","","Monkey_Riot_Pedals_Library:DIP-8_W7.62mm","1",""
"VOLUME1","A250K","~","Monkey_Riot_Pedals_Library:POT_16MM","1",""
