"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","100n","~","Monkey_Riot_Pedals_Library:C__FILM_BOX_Rect_L7.2mm_W2.5mm_P5mm","1",""
"C2,C5","47n","~","Monkey_Riot_Pedals_Library:C__FILM_BOX_Rect_L7.2mm_W2.5mm_P5mm","2",""
"C3","100p","~","Monkey_Riot_Pedals_Library:C__FILM_BOX_Rect_L7.2mm_W2.5mm_P5mm","1",""
"C4","10u","~","Monkey_Riot_Pedals_Library:CP_Electro_Radial_D5.0mm_P2.50mm","1",""
"C100,C101","22u","~","Monkey_Riot_Pedals_Library:CP_Electro_Radial_D5.0mm_P2.50mm","2",""
"D1,D2","LED","~","Monkey_Riot_Pedals_Library:LED_D3.0mm","2",""
"D100","1N5817","http://www.vishay.com/docs/88525/1n5817.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"DRIVE1","A1M","~","Monkey_Riot_Pedals_Library:POT_16MM","1",""
"R1","1M","~","Monkey_Riot_Pedals_Library:RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R2","6K8","~","Monkey_Riot_Pedals_Library:RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R3","330K","~","Monkey_Riot_Pedals_Library:RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R4","47K","~","Monkey_Riot_Pedals_Library:RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R5","8K2","~","Monkey_Riot_Pedals_Library:RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R101,R102","10K","~","Monkey_Riot_Pedals_Library:RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal","2",""
"TREBLE1","A50K","~","Monkey_Riot_Pedals_Library:POT_16MM","1",""
"U1","TL072","","Monkey_Riot_Pedals_Library:DIP-8_W7.62mm","1",""
"VOLUME1","A250K","~","Monkey_Riot_Pedals_Library:POT_16MM","1",""
