"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BODY1,VOLUME1","B100K","~","Monkey_Riot_Pedals_Library:POT_16MM","2",""
"C1","22n","~","Monkey_Riot_Pedals_Library:C__FILM_BOX_Rect_L7.2mm_W2.5mm_P5mm","1",""
"C2,C4,C101","100n","~","Monkey_Riot_Pedals_Library:C__FILM_BOX_Rect_L7.2mm_W2.5mm_P5mm","3",""
"C3","47u","~","Monkey_Riot_Pedals_Library:CP_Electro_Radial_D5.0mm_P2.50mm","1",""
"C100","100u","~","Monkey_Riot_Pedals_Library:CP_Electro_Radial_D5.0mm_P2.50mm","1",""
"D1","1N4148","~","Monkey_Riot_Pedals_Library:DIODE_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D2","1N43A","~","Monkey_Riot_Pedals_Library:DIODE_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D100","1N5817","http://www.vishay.com/docs/88525/1n5817.pdf","Monkey_Riot_Pedals_Library:DIODE_DO-41_SOD81_P10.16mm_Horizontal","1",""
"GAIN1","C1K","~","Monkey_Riot_Pedals_Library:POT_16MM","1",""
"Q1","2N5088","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Monkey_Riot_Pedals_Library:TO-92_INLINE_WIDE_REV","1",""
"R1","1M","~","Monkey_Riot_Pedals_Library:RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R2","47K","~","Monkey_Riot_Pedals_Library:RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R3","2M2","~","Monkey_Riot_Pedals_Library:RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R4","680R","~","Monkey_Riot_Pedals_Library:RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R100","100R","~","Monkey_Riot_Pedals_Library:RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
